Range To (consumption rate),Range From (consumption rate),Fuel consumption Kg/Km,IATA Code,Fuel Consumption kg,ICAO Code
1389,926,4.051835853,717,5628,B712
1852,1389,3.773758099,717,6989,B712
2778,1852,3.472282217,717,9646,B712
,2778,3.296166307,717,12209,B712
463,231,3.466522678,CCJ,1605,CL60
926,463,2.281857451,CCJ,2113,CL60
1389,926,1.986321094,CCJ,2759,CL60
1852,1389,1.819114471,CCJ,3369,CL60
2778,1852,1.625989921,CCJ,4517,CL60
3704,2778,1.512149028,CCJ,5601,CL60
4630,3704,1.434125270,CCJ,6640,CL60
5556,4630,1.376349892,CCJ,7647,CL60
,5556,1.330916384,CCJ,8627,CL60
463,231,5.559395248,F70,2574,F70
926,463,3.895248380,F70,3607,F70
1389,926,3.516198704,F70,4884,F70
1852,1389,3.305075594,F70,6121,F70
2778,1852,3.064074874,F70,8512,F70
,2778,2.924136069,F70,10831,F70
463,231,27.321814255,IL6,12650,IL62
926,463,15.052915767,IL6,13939,IL62
1389,926,12.871130310,IL6,17878,IL62
1852,1389,11.745680346,IL6,21753,IL62
2778,1852,10.508279338,IL6,29192,IL62
3704,2778,9.864200864,IL6,36537,IL62
4630,3704,9.519438445,IL6,44075,IL62
5556,4630,9.284017279,IL6,51582,IL62
6482,5556,9.117247763,IL6,59098,IL62
7408,6482,8.996625270,IL6,66647,IL62
8334,7408,8.908807295,IL6,74246,IL62
,8334,8.845464363,IL6,81909,IL62
463,231,8.641468683,M82,4001,MD82
926,463,5.903887689,M82,5467,MD82
1389,926,5.401727862,M82,7503,MD82
1852,1389,5.115010799,M82,9473,MD82
2778,1852,4.784377250,M82,13291,MD82
3704,2778,4.590172786,M82,17002,MD82
4630,3704,4.458099352,M82,20641,MD82
5556,4630,4.360511159,M82,24227,MD82
,5556,4.284480099,M82,27772,MD82
463,231,8.641468683,M83,4001,MD83
926,463,5.903887689,M83,5467,MD83
1389,926,5.401727862,M83,7503,MD83
1852,1389,5.115010799,M83,9473,MD83
2778,1852,4.784377250,M83,13291,MD83
3704,2778,4.590172786,M83,17002,MD83
4630,3704,4.458099352,M83,20641,MD83
5556,4630,4.360511159,M83,24227,MD83
,5556,4.284480099,M83,27772,MD83
463,231,1.066954644,DHC,494,DHC5
463,231,1.066954644,DHC,494,DHC4
926,463,0.861771058,DHC,798,DHC5
926,463,0.861771058,DHC,798,DHC4
1389,926,0.768898488,DHC,1068,DHC5
1389,926,0.768898488,DHC,1068,DHC4
1852,1389,0.713822894,DHC,1322,DHC5
1852,1389,0.713822894,DHC,1322,DHC4
,1852,0.648308135,DHC,1801,DHC5
,1852,0.648308135,DHC,1801,DHC4
463,231,19.963282937,74L,9243,B74S
926,463,14.640388769,74L,13557,B74S
1389,926,13.812095032,74L,19185,B74S
1852,1389,13.379049676,74L,24778,B74S
2778,1852,12.929805616,74L,35919,B74S
3704,2778,12.701403888,74L,47046,B74S
4630,3704,12.566522678,74L,58183,B74S
5556,4630,12.480381569,74L,69341,B74S
6482,5556,12.422709040,74L,80524,B74S
7408,6482,12.383099352,74L,91734,B74S
8334,7408,12.355771538,74L,102973,B74S
9260,8334,12.336933045,74L,114240,B74S
10186,9260,12.324268604,74L,125535,B74S
11112,10186,12.316324694,74L,136859,B74S
12038,11112,12.311762751,74L,148209,B74S
12964,12038,12.309935205,74L,159586,B74S
,12964,12.310223182,74L,170989,B74S
463,231,1.833693305,CNJ,849,C750
463,231,1.833693305,CNJ,849,C680
463,231,1.833693305,CNJ,849,C650
463,231,1.833693305,CNJ,849,C560
463,231,1.833693305,CNJ,849,C550
463,231,1.833693305,CNJ,849,C525
463,231,1.833693305,CNJ,849,C510
463,231,1.833693305,CNJ,849,C500
463,231,1.833693305,CNJ,849,C56X
463,231,1.833693305,CNJ,849,C25C
463,231,1.833693305,CNJ,849,C25B
463,231,1.833693305,CNJ,849,C25A
926,463,1.207343413,CNJ,1118,C750
926,463,1.207343413,CNJ,1118,C680
926,463,1.207343413,CNJ,1118,C650
926,463,1.207343413,CNJ,1118,C560
926,463,1.207343413,CNJ,1118,C550
926,463,1.207343413,CNJ,1118,C525
926,463,1.207343413,CNJ,1118,C510
926,463,1.207343413,CNJ,1118,C500
926,463,1.207343413,CNJ,1118,C56X
926,463,1.207343413,CNJ,1118,C25C
926,463,1.207343413,CNJ,1118,C25B
926,463,1.207343413,CNJ,1118,C25A
1389,926,1.051115911,CNJ,1460,C750
1389,926,1.051115911,CNJ,1460,C680
1389,926,1.051115911,CNJ,1460,C650
1389,926,1.051115911,CNJ,1460,C560
1389,926,1.051115911,CNJ,1460,C550
1389,926,1.051115911,CNJ,1460,C525
1389,926,1.051115911,CNJ,1460,C510
1389,926,1.051115911,CNJ,1460,C500
1389,926,1.051115911,CNJ,1460,C56X
1389,926,1.051115911,CNJ,1460,C25C
1389,926,1.051115911,CNJ,1460,C25B
1389,926,1.051115911,CNJ,1460,C25A
1852,1389,0.962742981,CNJ,1783,C750
1852,1389,0.962742981,CNJ,1783,C680
1852,1389,0.962742981,CNJ,1783,C650
1852,1389,0.962742981,CNJ,1783,C560
1852,1389,0.962742981,CNJ,1783,C550
1852,1389,0.962742981,CNJ,1783,C525
1852,1389,0.962742981,CNJ,1783,C510
1852,1389,0.962742981,CNJ,1783,C500
1852,1389,0.962742981,CNJ,1783,C56X
1852,1389,0.962742981,CNJ,1783,C25C
1852,1389,0.962742981,CNJ,1783,C25B
1852,1389,0.962742981,CNJ,1783,C25A
2778,1852,0.860331174,CNJ,2390,C750
2778,1852,0.860331174,CNJ,2390,C680
2778,1852,0.860331174,CNJ,2390,C650
2778,1852,0.860331174,CNJ,2390,C560
2778,1852,0.860331174,CNJ,2390,C550
2778,1852,0.860331174,CNJ,2390,C525
2778,1852,0.860331174,CNJ,2390,C510
2778,1852,0.860331174,CNJ,2390,C500
2778,1852,0.860331174,CNJ,2390,C56X
2778,1852,0.860331174,CNJ,2390,C25C
2778,1852,0.860331174,CNJ,2390,C25B
2778,1852,0.860331174,CNJ,2390,C25A
3704,2778,0.800215983,CNJ,2964,C750
3704,2778,0.800215983,CNJ,2964,C680
3704,2778,0.800215983,CNJ,2964,C650
3704,2778,0.800215983,CNJ,2964,C560
3704,2778,0.800215983,CNJ,2964,C550
3704,2778,0.800215983,CNJ,2964,C525
3704,2778,0.800215983,CNJ,2964,C510
3704,2778,0.800215983,CNJ,2964,C500
3704,2778,0.800215983,CNJ,2964,C56X
3704,2778,0.800215983,CNJ,2964,C25C
3704,2778,0.800215983,CNJ,2964,C25B
3704,2778,0.800215983,CNJ,2964,C25A
4630,3704,0.758963283,CNJ,3514,C750
4630,3704,0.758963283,CNJ,3514,C680
4630,3704,0.758963283,CNJ,3514,C650
4630,3704,0.758963283,CNJ,3514,C560
4630,3704,0.758963283,CNJ,3514,C550
4630,3704,0.758963283,CNJ,3514,C525
4630,3704,0.758963283,CNJ,3514,C510
4630,3704,0.758963283,CNJ,3514,C500
4630,3704,0.758963283,CNJ,3514,C56X
4630,3704,0.758963283,CNJ,3514,C25C
4630,3704,0.758963283,CNJ,3514,C25B
4630,3704,0.758963283,CNJ,3514,C25A
,4630,0.728401728,CNJ,4047,C750
,4630,0.728401728,CNJ,4047,C680
,4630,0.728401728,CNJ,4047,C650
,4630,0.728401728,CNJ,4047,C560
,4630,0.728401728,CNJ,4047,C550
,4630,0.728401728,CNJ,4047,C525
,4630,0.728401728,CNJ,4047,C510
,4630,0.728401728,CNJ,4047,C500
,4630,0.728401728,CNJ,4047,C56X
,4630,0.728401728,CNJ,4047,C25C
,4630,0.728401728,CNJ,4047,C25B
,4630,0.728401728,CNJ,4047,C25A
463,231,0.306695464,BNI,142,BN2P
926,463,0.247300216,BNI,229,BN2P
,926,0.221022318,BNI,307,BN2P
463,231,8.440604752,D94,3908,DC94
926,463,5.647948164,D94,5230,DC94
1389,926,5.104391649,D94,7090,DC94
1852,1389,4.792116631,D94,8875,DC94
2778,1852,4.428005760,D94,12301,DC94
3704,2778,4.211663067,D94,15600,DC94
,3704,4.063282937,D94,18813,DC94
463,231,0.213822894,DHP,99,DHC2
926,463,0.172786177,DHP,160,DHC2
,926,0.154067675,DHP,214,DHC2
463,231,0.840172786,EMB,389,E110
926,463,0.631749460,EMB,585,E110
1389,926,0.568754500,EMB,790,E110
1852,1389,0.531317495,EMB,984,E110
,1852,0.486321094,EMB,1351,E110
463,231,53.332613391,A4F,24693,A124
926,463,34.524838013,A4F,31970,A124
1389,926,30.279337653,A4F,42058,A124
1852,1389,27.849892009,A4F,51578,A124
2778,1852,25.020518359,A4F,69507,A124
3704,2778,23.338282937,A4F,86445,A124
4630,3704,22.181425486,A4F,102700,A124
5556,4630,21.318214543,A4F,118444,A124
,5556,20.639000309,A4F,133782,A124
463,231,2.447084233,HS7,1133,A748
926,463,1.840172786,HS7,1704,A748
1389,926,1.658027358,HS7,2303,A748
1852,1389,1.549136069,HS7,2869,A748
,1852,1.417926566,HS7,3939,A748
463,231,1.561555076,AT4,723,AT43
926,463,1.180345572,AT4,1093,AT43
1389,926,1.069834413,AT4,1486,AT43
1852,1389,1.005939525,AT4,1863,AT43
,1852,0.931605472,AT4,2588,AT43
463,231,4.665226782,E70,2160,E170
926,463,3.097192225,E70,2868,E170
1389,926,2.719222462,E70,3777,E170
1852,1389,2.511339093,E70,4651,E170
,1852,2.282577394,E70,6341,E170
463,231,8.641468683,M88,4001,MD88
926,463,5.903887689,M88,5467,MD88
1389,926,5.401727862,M88,7503,MD88
1852,1389,5.115010799,M88,9473,MD88
2778,1852,4.784377250,M88,13291,MD88
3704,2778,4.590172786,M88,17002,MD88
4630,3704,4.458099352,M88,20641,MD88
5556,4630,4.360511159,M88,24227,MD88
,5556,4.284480099,M88,27772,MD88
463,231,10.421166307,753,4825,B753
926,463,7.046436285,753,6525,B753
1389,926,6.406767459,753,8899,B753
1852,1389,6.041036717,753,11188,B753
2778,1852,5.616270698,753,15602,B753
3704,2778,5.365010799,753,19872,B753
4630,3704,5.193088553,753,24044,B753
5556,4630,5.065694744,753,28145,B753
,5556,4.898796668,753,31754,B753
463,231,15.041036717,332,6964,A332
926,463,10.313174946,332,9550,A332
1389,926,9.354931605,332,12994,A332
1852,1389,8.812634989,332,16321,A332
2778,1852,8.188264939,332,22747,A332
3704,2778,7.822084233,332,28973,A332
4630,3704,7.573434125,332,35065,A332
5556,4630,7.389668826,332,41057,A332
6482,5556,7.246220302,332,46970,A332
7408,6482,7.076403888,332,52422,A332
8334,7408,6.867170626,332,57231,A332
9260,8334,6.683477322,332,61889,A332
10186,9260,6.519340271,332,66406,A332
11112,10186,6.370860331,332,70793,A332
12038,11112,6.235088885,332,75058,A332
,12038,6.109765504,332,79207,A332
463,231,8.008639309,732,3708,B732
926,463,5.358531317,732,4962,B732
1389,926,4.843052556,732,6727,B732
1852,1389,4.546976242,732,8421,B732
2778,1852,4.201583873,732,11672,B732
3704,2778,3.996220302,732,14802,B732
4630,3704,3.855291577,732,17850,B732
5556,4630,3.750539957,732,20838,B732
6482,5556,3.668157976,732,23777,B732
,6482,3.600971922,732,26676,B732
463,231,0.920086393,J31,426,JS31
926,463,0.691144708,J31,640,JS31
1389,926,0.622750180,J31,865,JS31
1852,1389,0.582073434,J31,1078,JS31
,1852,0.532757379,J31,1480,JS31
463,231,2.572354212,F27,1191,F27
926,463,1.934125270,F27,1791,F27
1389,926,1.742260619,F27,2420,F27
1852,1389,1.627969762,F27,3015,F27
2778,1852,1.490280778,F27,4140,F27
,2778,1.405777538,F27,5207,F27
463,231,20.617710583,M1F,9546,MD11
926,463,13.939524838,M1F,12908,MD11
1389,926,12.692584593,M1F,17630,MD11
1852,1389,11.988660907,M1F,22203,MD11
2778,1852,11.182505400,M1F,31065,MD11
3704,2778,10.711933045,M1F,39677,MD11
4630,3704,10.393304536,M1F,48121,MD11
5556,4630,10.158567315,M1F,56441,MD11
6482,5556,9.976241901,M1F,64666,MD11
7408,6482,9.828968683,M1F,72813,MD11
8334,7408,9.706623470,M1F,80895,MD11
9260,8334,9.602915767,M1F,88923,MD11
10186,9260,9.513351659,M1F,96903,MD11
11112,10186,9.435115191,M1F,104843,MD11
12038,11112,9.365758432,M1F,112745,MD11
,12038,9.303841407,M1F,120615,MD11
463,231,7.408207343,32A,3430,A320
926,463,4.951403888,32A,4585,A320
1389,926,4.472282217,32A,6212,A320
1852,1389,4.196544276,32A,7772,A320
2778,1852,3.875449964,32A,10766,A320
3704,2778,3.684665227,32A,13648,A320
,3704,3.553347732,32A,16452,A320
463,231,5.805615551,E90,2688,E190
463,231,5.805615551,E90,2688,E190
926,463,3.852051836,E90,3567,E190
926,463,3.852051836,E90,3567,E190
1389,926,3.380129590,E90,4695,E190
1389,926,3.380129590,E90,4695,E190
1852,1389,3.119870410,E90,5778,E190
1852,1389,3.119870410,E90,5778,E190
2778,1852,2.833333333,E90,7871,E190
2778,1852,2.833333333,E90,7871,E190
,2778,2.676295896,E90,9913,E190
,2778,2.676295896,E90,9913,E190
463,231,1.751619870,DH1,811,DH8A
926,463,1.316414687,DH1,1219,DH8A
,926,1.186465083,DH1,1648,DH8A
463,231,13.237580994,764,6129,B764
926,463,9.248380130,764,8564,B764
1389,926,8.480921526,764,11780,B764
1852,1389,8.051295896,764,14911,B764
2778,1852,7.563354932,764,21011,B764
3704,2778,7.281587473,764,26971,B764
4630,3704,7.092656587,764,32839,B764
5556,4630,6.954823614,764,38641,B764
6482,5556,6.848349275,764,44391,B764
7408,6482,6.762958963,764,50100,B764
8334,7408,6.692704584,764,55777,B764
9260,8334,6.587365011,764,60999,B764
,9260,6.381307677,764,65000,B764
463,231,2.390928726,MIH,1107,MI8
926,463,1.746220302,MIH,1617,MI8
1389,926,1.544276458,MIH,2145,MI8
1852,1389,1.427645788,MIH,2644,MI8
,1852,1.290136789,MIH,3584,MI8
463,231,3.306695464,CV5,1531,CVLT
926,463,2.484881210,CV5,2301,CVLT
1389,926,2.239020878,CV5,3110,CVLT
1852,1389,2.092332613,CV5,3875,CVLT
,1852,1.915046796,CV5,5320,CVLT
463,231,16.887688985,772,7819,B772
926,463,11.749460043,772,10880,B772
1389,926,10.748740101,772,14930,B772
1852,1389,10.186825054,772,18866,B772
2778,1852,9.545716343,772,26518,B772
3704,2778,9.174406048,772,33982,B772
4630,3704,8.924406048,772,41320,B772
5556,4630,8.741180706,772,48566,B772
6482,5556,8.599506325,772,55742,B772
7408,6482,8.485556156,772,62861,B772
8334,7408,8.391288697,772,69933,B772
9260,8334,8.311663067,772,76966,B772
10186,9260,8.243275083,772,83966,B772
11112,10186,8.133369330,772,90378,B772
12038,11112,7.988702442,772,96168,B772
12964,12038,7.856602900,772,101853,B772
,12964,7.735061195,772,107440,B772
231,0,16.774891775,77X,3875,B77L
231,0,20.662337662,D1C,4773,DC10
231,0,1.787878788,D38,413,D328
231,0,0.212121212,DHP,49,DHC2
231,0,6.549783550,717,1513,B712
231,0,1.558441558,AT4,360,AT43
231,0,23.844155844,74C,5508,B742
231,0,0.402597403,BH2,93,B429
231,0,0.402597403,BH2,93,B412
231,0,0.402597403,BH2,93,B212
231,0,1.255411255,NDC,290,S601
231,0,9.285714286,ANF,2145,AN12
231,0,18.203463203,343,4205,A343
231,0,1.268398268,SH3,293,SH33
231,0,7.900432900,M87,1825,MD87
231,0,8.593073593,M88,1985,MD88
231,0,19.489177489,74L,4502,B74S
231,0,11.419913420,788,2638,B788
231,0,2.354978355,YS1,544,YS11
231,0,14.835497835,AB4,3427,A30B
231,0,0.922077922,CD2,213,NOMA
231,0,0.666666667,SHS,154,SC7
231,0,12.554112554,763,2900,B763
231,0,6.653679654,LOH,1537,C130
231,0,0.900432900,YN2,208,Y12
231,0,20.428571429,74Y,4719,B744
231,0,7.090909091,D91,1638,DC91
231,0,5.896103896,E95,1362,E195
231,0,100.012987013,SSC,23103,CONC
231,0,5.580086580,141,1289,B461
231,0,5.580086580,141,1289,B461
231,0,1.359307359,J41,314,JS41
231,0,0.190476190,PAG,44,PA46
231,0,5.380952381,AR7,1243,RJ70
231,0,20.147186147,L10,4654,L101
231,0,2.406926407,A40,556,A140
231,0,20.662337662,D1Y,4773,DC10
231,0,6.679653680,SU9,1543,SU95
231,0,1.844155844,AT5,426,AT45
231,0,0.199134199,PN6,46,P68
231,0,20.662337662,M11,4773,MD11
231,0,5.731601732,143,1324,B463
231,0,2.337662338,DH7,540,DHC7
231,0,5.095238095,CRK,1177,CRJX
231,0,19.116883117,74N,4416,B748
231,0,1.069264069,DHC,247,DHC5
231,0,1.069264069,DHC,247,DHC4
231,0,6.679653680,F21,1543,F28
231,0,6.909090909,319,1596,A319
231,0,7.424242424,738,1715,B738
231,0,22.826839827,743,5273,B743
231,0,24.264069264,74T,5605,B741
231,0,2.727272727,YK4,630,YK40
231,0,19.359307359,T20,4472,T204
231,0,24.264069264,74R,5605,B74R
231,0,53.450216450,A4F,12347,A124
231,0,6.415584416,L49,1482,CONI
231,0,1.363636364,EM2,315,E120
231,0,39.774891775,ILW,9188,IL86
231,0,1.164502165,S58,269,S58T
231,0,5.580086580,AR8,1289,RJ85
231,0,11.623376623,762,2685,B762
231,0,2.160173160,ATP,499,ATP
231,0,8.593073593,M82,1985,MD82
231,0,11.376623377,313,2628,A310
231,0,19.627705628,D11,4534,DC10
231,0,1.359307359,SH6,314,SH36
231,0,5.359307359,F70,1238,F70
231,0,3.311688312,CV5,765,CVLT
231,0,8.593073593,M83,1985,MD83
231,0,2.939393939,I14,679,I114
231,0,8.593073593,M81,1985,MD81
231,0,0.428571429,GRG,99,G21
231,0,1.636363636,SF3,378,SF34
231,0,20.428571429,744,4719,B744
231,0,20.428571429,74J,4719,B74D
231,0,24.264069264,741,5605,B741
231,0,0.116883117,CN1,27,C210
231,0,0.116883117,CN1,27,C208
231,0,0.116883117,CN1,27,C206
231,0,0.116883117,CN1,27,C182
231,0,0.116883117,CN1,27,C172
231,0,0.116883117,CN1,27,C162
231,0,0.116883117,CN1,27,C77R
231,0,0.116883117,CN1,27,C72R
231,0,8.242424242,D94,1904,DC94
231,0,7.294372294,734,1685,B734
231,0,1.844155844,CWC,426,C46
231,0,5.580086580,142,1289,B462
231,0,14.696969697,332,3395,A332
231,0,1.709956710,S61,395,S61
231,0,1.069264069,L4T,247,L410
231,0,25.329004329,388,5851,A388
231,0,2.406926407,GRS,556,G159
231,0,8.264069264,321,1909,A321
231,0,2.913419913,FRJ,673,J328
231,0,1.839826840,CNJ,425,C750
231,0,1.839826840,CNJ,425,C680
231,0,1.839826840,CNJ,425,C650
231,0,1.839826840,CNJ,425,C560
231,0,1.839826840,CNJ,425,C550
231,0,1.839826840,CNJ,425,C525
231,0,1.839826840,CNJ,425,C510
231,0,1.839826840,CNJ,425,C500
231,0,1.839826840,CNJ,425,C56X
231,0,1.839826840,CNJ,425,C25C
231,0,1.839826840,CNJ,425,C25B
231,0,1.839826840,CNJ,425,C25A
231,0,2.138528139,F50,494,F50
231,0,2.454545455,HS7,567,A748
231,0,12.761904762,YK2,2948,YK42
231,0,5.731601732,AR1,1324,RJ1H
231,0,1.056277056,CS2,244,C212
231,0,19.359307359,TU5,4472,T154
231,0,3.722943723,D6F,860,DC6
231,0,3.437229437,CR1,794,CRJ1
231,0,0.939393939,S76,217,S76
231,0,6.865800866,73G,1586,B737
231,0,39.658008658,IL7,9161,IL76
231,0,3.380952381,CR2,781,CRJ2
231,0,4.653679654,E70,1075,E170
231,0,5.346320346,A81,1235,A148
231,0,0.982683983,J32,227,JS32
231,0,1.904761905,DH2,440,DH8B
231,0,20.428571429,74E,4719,B744
231,0,19.116883117,74H,4416,B748
231,0,0.372294372,PA2,86,PA31
231,0,7.748917749,B11,1790,BA11
231,0,5.610389610,100,1296,F100
231,0,7.748917749,LOE,1790,L188
231,0,1.878787879,AT7,434,AT72
231,0,9.619047619,SHB,2222,BELF
231,0,0.709956710,PL2,164,PC12
231,0,1.203463203,A28,278,AN28
231,0,1.017316017,D3F,235,DC3
231,0,11.974025974,312,2766,A310
231,0,6.995670996,733,1616,B733
231,0,4.844155844,CR9,1119,CRJ9
231,0,7.238095238,32A,1672,A320
231,0,8.506493506,D95,1965,DC95
231,0,7.675324675,D93,1773,DC93
231,0,13.012987013,TU3,3006,T134
231,0,6.601731602,736,1525,B736
231,0,3.008658009,S20,695,SB20
231,0,7.696969697,732,1778,B732
231,0,0.458874459,BNT,106,TRIS
231,0,0.307359307,BNI,71,BN2P
231,0,15.138528139,333,3497,A333
231,0,2.316017316,DH3,535,DH8C
231,0,18.532467532,703,4281,B703
231,0,20.662337662,M1M,4773,MD11
231,0,19.290043290,345,4456,A345
231,0,1.337662338,BEH,309,B190
231,0,7.714285714,739,1782,B739
231,0,12.424242424,722,2870,B722
231,0,1.787878788,ATR,413,AT76
231,0,1.787878788,ATR,413,AT75
231,0,1.787878788,ATR,413,AT73
231,0,1.787878788,ATR,413,AT46
231,0,11.038961039,721,2550,B721
231,0,6.662337662,735,1539,B735
231,0,4.818181818,E75,1113,E75S/L
231,0,3.458874459,ER4,799,E145
231,0,17.679653680,773,4084,B773
231,0,22.826839827,74D,5273,B743
231,0,2.398268398,MIH,554,MI8
231,0,1.757575758,DH1,406,DH8A
231,0,20.662337662,M1F,4773,MD11
231,0,0.800865801,MU2,185,MU2
231,0,17.874458874,77W,4129,B77W
231,0,7.181818182,D92,1659,DC92
231,0,42.900432900,IL6,9910,IL62
231,0,9.346320346,752,2159,B752
231,0,20.683982684,346,4778,A346
231,0,0.696969697,MD9,161,EXPL
231,0,0.476190476,DHL,110,DHC3
231,0,3.220779221,ERD,744,E135
231,0,0.900432900,DHT,208,DHC6
231,0,1.943722944,WWP,449,WW24
231,0,2.580086580,F27,596,F27
231,0,3.181818182,AN4,735,AN24
231,0,16.489177489,77L,3809,B77L
231,0,1.818181818,LRJ,420,LJ60
231,0,1.818181818,LRJ,420,LJ35
231,0,1.601731602,CS5,370,CN35
231,0,23.844155844,74X,5508,B742
231,0,10.090909091,753,2331,B753
231,0,0.839826840,EMB,194,E110
231,0,5.792207792,E90,1338,E190
231,0,5.792207792,E90,1338,E190
231,0,6.813852814,IL8,1574,IL18
231,0,0.393939394,PL6,91,PC6T
231,0,9.965367965,75F,2302,B752
231,0,7.238095238,M90,1672,MD90
231,0,3.155844156,ER3,729,E135
231,0,3.155844156,ER3,729,E35L
231,0,0.883116883,NDH,204,S65C
231,0,12.826839827,764,2963,B764
231,0,7.238095238,320,1672,A320
231,0,6.441558442,318,1488,A318
231,0,3.476190476,CCJ,803,CL60
231,0,13.502164502,AB6,3119,A306
231,0,0.454545455,NDE,105,AS50
231,0,4.515151515,CR7,1043,CRJ7
231,0,2.982683983,DH4,689,DH8D
231,0,15.978354978,772,3691,B772
231,0,17.194805195,342,3972,A342
231,0,5.346320346,AN7,1235,AN72
231,0,0.281385281,CNT,65,F406
231,0,0.666666667,GRM,154,G73T
231,0,0.554112554,MBH,128,B105
231,0,0.878787879,D28,203,D228
231,0,1.008658009,ND2,233,N262
231,0,0.922077922,J31,213,JS31
231,0,23.844155844,742,5508,B742
